entity_id,entity_raw,entity_text,dominant_relation,pca_x,pca_y,tsne_x,tsne_y
10476,/m/023zl,City University of New York,education educational degree people with this degree. education education institution,-0.26234794,0.03279078,-17.476425,-18.361698
1824,/m/031n8c,New England Conservatory of Music,location location contains,-0.40752423,0.14828551,-19.501757,-8.78593
409,/m/06jzh,Robin Wright,award award nominee award nominations. award award nomination award nominee,0.7985091,-0.011850834,53.973873,9.398677
12149,/m/032s66,Gunshot,people cause of death people,-0.40233094,0.16266716,-21.188322,15.437343
4506,/m/01pcdn,Kristin Davis,base popstra celebrity dated. base popstra dated participant,0.48211908,0.21626705,36.757923,11.291322
4012,/m/01y8cr,Karl Malden,film actor film. film performance film,0.6615586,0.10848397,44.56244,14.118368
3657,/m/023znp,Emerson College,education educational institution students graduates. education education student,-0.1928484,0.2640766,-2.9267712,-2.367116
2286,/m/03pn9,Second Polish Republic,location location adjoin s. location adjoining relationship adjoins,-0.34390926,0.039747655,-23.474346,-7.922422
12066,/m/0cv2m,Chhattisgarh,base aareas schema administrative area administrative parent,-0.38911414,0.19453794,-15.88019,7.290112
1679,/m/028cg00,The Mummy - Tomb of the Dragon Emperor,film film other crew. film film crew gig film crew role,-0.53846574,-0.276104,-48.96646,-6.492787
11087,/m/0bm9xk,Hans J. Salter,award award nominee award nominations. award award nomination award nominee,-0.09394996,0.3483078,3.2063444,10.998209
12135,/m/045xh,"James Tiptree, Jr. Award",award award nominee award nominations. award award nomination award,0.17842677,-0.39276463,19.505562,-37.266396
8935,/m/08j7lh,Election,film film release date s. film film regional release date film release region,-0.37800086,0.03312415,-43.64684,0.8525219
1424,/m/051kv,Methodism,location statistical region religions. location religion percentage religion,0.13634387,-1.0899453,1.1689423,-44.83156
9674,/m/0bzrsh,1986 NCAA Men's Division I Basketball Tournament,time event locations,-0.2839355,0.23401445,-5.9390492,16.765476
6912,/m/027571b,Los Angeles Film Critics Association Award for Best Actress,award award winning work awards won. award award honor award,0.53170675,-0.9580395,16.982708,-43.78886
520,/m/03lpp_,Washington Nationals,sports sports team roster. baseball baseball roster position position,-0.14178725,0.31576115,-1.8985422,15.668077
488,/m/01gvr1,Cicely Tyson,award award winner awards won. award award honor award winner,0.7168588,0.18112922,47.00791,7.7238812
1535,/m/0170pk,Geoffrey Rush,award award nominee award nominations. award award nomination award nominee,0.7486243,0.11212772,49.81061,13.715358
3582,/m/0d_wms,Superman II: The Richard Donner Cut,award award nominated work award nominations. award award nomination nominated for,-0.5747206,-0.40206847,-54.066456,-11.214087
3811,/m/031q3w,Horace Mann School,education educational institution students graduates. education education student,-0.108473614,0.34006184,3.5936463,15.447316
8279,/m/02y7sr,Duff McKagan,music record label artist,0.54215693,0.08946723,45.72403,-1.8365564
9863,/m/0p76z,Jethro Tull,music genre artists,0.44284803,-0.02329737,46.925247,-4.6300693
434,/m/04ztj,Marriage,people person spouse s. people marriage type of union,0.3753723,-1.4016231,-0.6700823,-46.19125
9195,/m/035nm,General Motors,business job title people with this title. business employment tenure company,0.13912809,0.3447287,15.568331,12.134678
3257,/m/082gq,War film,film film genre,0.32120216,-1.3870294,-2.0057952,-47.290855
11731,/m/02h400t,Financial Services,business business operation industry,0.053249627,0.31017894,15.101092,10.139852
10647,/m/0jrv_,Thrash metal,music genre artists,-0.34305733,0.25575322,-13.460836,5.953308
11490,/m/021y1s,Warwickshire,location location contains,-0.30103838,0.27602446,-17.7992,13.726137
8928,/m/0crs0b8,Brighton Rock,film film release date s. film film regional release date film release region,-0.514298,-0.15485588,-46.448017,-3.47373
6873,/m/02vq8xn,Charo Santos-Concio,people person employment history. business employment tenure company,-0.21093307,0.2885654,-5.408037,4.628387
3611,/m/02xv8m,Oliver Platt,award award nominee award nominations. award award nomination award nominee,0.7500036,0.13563746,50.062634,12.387823
7359,/m/04b5n0,Arminia Bielefeld,soccer football team current roster. soccer football roster position position,0.0069143027,0.25998354,-9.156081,25.774458
9654,/m/01gp_d,Finnish Language,film film language,0.09955537,0.22004068,12.059925,21.126255
4557,/m/0177z,Brussels,travel travel destination climate. travel travel destination monthly climate month,-0.333358,-0.01638025,-7.905178,-21.964148
13261,/m/0qcrj,Menlo Park,location location adjoin s. location adjoining relationship adjoins,-0.3367247,0.14347947,-10.285389,-13.983822
14242,/m/02qvkj,Winger,sports sports position players. sports sports team roster position,-0.37463832,0.19295657,-22.338987,3.3185053
106,/m/02p65p,Don Cheadle,award award nominee award nominations. award award nomination award nominee,0.9334825,-0.13453865,59.141457,16.65316
12432,/m/07kfzsg,Hong Kong Film Award for Best Actress,award award category nominees. award award nomination nominated for,0.27605462,-0.2983251,19.432018,-37.059067
13202,/m/07s4l,Typhoid fever,medicine symptom symptom of,-0.20864512,0.27218878,-4.805897,19.05248
2615,/m/025n3p,Vin Diesel,award award nominee award nominations. award award nomination award nominee,0.63043845,0.1857394,43.114616,1.8132182
11438,/m/0tz14,Haverhill,location location contains,-0.40118444,-0.008518934,-12.701029,-16.629898
6924,/m/0280061,This Is England,film film release date s. film film regional release date film release region,-0.41658014,0.06465536,-42.82593,1.2629886
5574,/m/037mjv,Inverness Caledonian Thistle F.C.,soccer football team current roster. soccer football roster position position,-0.1978872,0.290177,2.647439,20.475254
4552,/m/02bqm0,104th United States Congress,government legislative session members. government government position held legislative sessions,-0.23446168,-0.5091853,-38.720787,-23.748657
2547,/m/05q4y12,Away We Go,film film release date s. film film regional release date film release region,-0.54146105,-0.19486919,-47.276962,-4.887242
3527,/m/02mplj,Hamburger SV,soccer football team current roster. sports sports team roster position,-0.2899022,0.27799076,-17.919426,14.246474
12509,/m/03x726,C.D. Nacional,soccer football team current roster. soccer football roster position position,-0.29856586,0.23486805,-19.732616,18.481516
5514,/m/0jvs0,Morgan Stanley,business job title people with this title. business employment tenure company,-0.26427054,0.28236347,-3.618768,4.5466475
1674,/m/0bx8pn,University of North Carolina at Chapel Hill,sports professional sports team draft picks. sports sports league draft pick school,-0.3013311,-0.030594409,-19.670519,-16.028835
1519,/m/0fsm8c,Paul Dano,award award nominee award nominations. award award nomination award nominee,0.590392,0.20761567,41.561237,12.884637
6224,/m/0457w0,Ricardo Fuller,soccer football player current team. sports sports team roster team,0.14087693,0.29773343,14.70099,17.537376
1584,/m/0m_xy,Kilkenny,location location contains,-0.37890744,0.19030106,-21.101425,5.120208
5881,/m/01515w,Edward Norton,film actor film. film performance film,0.7611496,0.17885274,50.42965,8.774883
13885,/m/09743,Pashtun,people ethnicity languages spoken,-0.083157614,0.3243841,-4.128722,-0.32435367
5635,/m/01_sz1,Synthpunk,music genre parent genre,-0.21331926,0.21159256,2.0317411,23.258715
9891,/m/01kqq7,Wild at Heart,film film genre,-0.5327121,-0.3209678,-52.412945,-8.189271
4333,/m/09gb_4p,127 Hours,award award category nominees. award award nomination nominated for,-0.4823439,-0.75422496,-61.29253,-20.058802
13223,/m/04qp06,Rakesh Roshan,people person profession,-0.368082,0.19266349,-15.520813,3.9199882
711,/m/09qv3c,Primetime Emmy Award for Outstanding Supporting Actor - Comedy Series,award award nominee award nominations. award award nomination award,0.4799866,-0.93506795,16.76673,-43.487705
11955,/m/02dwpf,Relief pitcher,sports sports team roster. baseball baseball roster position position,-0.33574665,0.13295716,-18.876362,4.351693
7527,/m/02kcz,Equatorial Guinea,organization organization member member of. organization organization membership organization,-0.07986158,-0.36686683,-3.0320778,-27.325968
8785,/m/03l78j,Florida Atlantic University,education educational degree people with this degree. education education institution,-0.37883908,0.19622612,-15.011903,-3.6512613
2045,/m/01lb14,Road running,olympics olympic sport athletes. olympics olympic athlete affiliation country,0.018251747,-0.52081156,8.8324795,-45.657753
6201,/m/01pfpt,Krautrock,music genre parent genre,-0.36861604,0.18502462,-12.80058,14.549015
1291,/m/045c66,Aidan Quinn,award award nominee award nominations. award award nomination award nominee,0.6540774,0.18040735,39.842876,6.9917364
9044,/m/09bkc6,A.S. Varese 1910,soccer football team current roster. sports sports team roster position,-0.15656064,0.33736378,2.0809174,6.345565
