entity_id,entity_raw,entity_text,dominant_relation,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63
10476,/m/023zl,City University of New York,education educational degree people with this degree. education education institution,0.0785615593+0.0467563383j,0.0716345161+0.0293890014j,0.0744643584+0.0011292796j,0.0630728379+0.0000589369j,0.0854376182-0.0339345038j,0.0905795246-0.0331826136j,0.0374199077-0.0545709170j,0.0453123599-0.0481895618j,0.0768582597+0.0478399582j,0.0583646037+0.0836053640j,0.0865312219+0.0215668865j,0.0668010935+0.0741031691j,0.0805152804-0.0660905316j,0.1523223370-0.0164495558j,0.0456206538-0.0777127668j,0.1252932847-0.0356810503j,0.0855280980+0.0448125713j,0.0751062185+0.0248827655j,0.0921631530-0.0347542800j,0.0725791752-0.0314067826j,0.0786373913-0.0559885986j,0.0816593021-0.0531751886j,0.0029213275-0.0866322294j,0.0154723506-0.0790264457j,0.1125948653+0.0386429317j,0.0998626351+0.0912338272j,0.1405622512-0.0469867513j,0.1629991978+0.0451638289j,0.0619113073-0.1214670092j,0.1735819280-0.1006268337j,-0.0345299505-0.1431342512j,0.1062766761-0.1866165996j,0.0480462648+0.0836952701j,0.0510791838+0.0832225978j,0.0583584942+0.0531397648j,0.0533969104+0.0582006872j,0.0892246366-0.0073321545j,0.1122686416+0.0119967302j,0.0584655814-0.0297662802j,0.0754899755-0.0120516550j,0.0654901490+0.0885683000j,0.0146526210+0.1519544572j,0.0739170462+0.0812669769j,0.0017185519+0.1523066908j,0.1003604680-0.0600600503j,0.2080148906+0.0400886275j,0.0799185708-0.0662803426j,0.1804174036+0.0418233275j,0.0644728914+0.0604726225j,0.0651552305+0.0556179956j,0.0889285803+0.0107892603j,0.0819788426+0.0147315115j,0.0690033212-0.0425204337j,0.0929734930-0.0319034308j,0.0221897904-0.0691838786j,0.0477450453-0.0614901222j,0.1140540838+0.0573013984j,0.0979998857+0.1494629383j,0.1566994339+0.0029734392j,0.1654139906+0.1467826366j,0.0490374602-0.1245137304j,0.2151444554-0.1134867519j,-0.0183990560-0.1418095380j,0.1792397499-0.1845241934j
1824,/m/031n8c,New England Conservatory of Music,location location contains,0.1071780175-0.0195083003j,0.1078283340+0.0007456467j,0.1034654602-0.0562489443j,0.1142878011-0.0172348004j,0.0814186856-0.0447263233j,0.0748213455-0.0403120667j,0.0555209816-0.0810256377j,0.0636534095-0.0651640743j,0.1448038369+0.0504049994j,0.0852503777+0.1283366233j,0.1333458871-0.0192853492j,0.1178079024+0.0816421360j,0.1204778925-0.0446799584j,0.1295030266+0.0126664080j,0.0619178601-0.0928490609j,0.1086572111-0.0479315743j,0.0996041670-0.0192556996j,0.0984041914-0.0142702283j,0.1078606695-0.0296395551j,0.1076841131-0.0063158954j,0.0898103565-0.0685823783j,0.0723953918-0.0715754479j,0.0776709989-0.0920886472j,0.0735705122-0.0806287006j,0.1460935175+0.0665555522j,0.0851291418+0.1256035566j,0.1420999020+0.0264755096j,0.0973860025+0.1063803062j,0.1534407288-0.0635167286j,0.1589115709-0.0088115912j,0.1033750400-0.1014896855j,0.1377988160-0.0470254943j,0.0923852175+0.0161347426j,0.1035893112+0.0259139128j,0.1027737185-0.0084004104j,0.1148631722+0.0173102710j,0.0781061500-0.0176560190j,0.0806017369-0.0287157111j,0.0699133649-0.0510812625j,0.0782602951-0.0518706255j,0.0908492208+0.0866438374j,0.0422474183+0.1327618212j,0.1051729321+0.0382725820j,0.0765482485+0.1068399027j,0.1074152589-0.0015145994j,0.1186520383+0.0366848409j,0.0801933557-0.0524115972j,0.1153521091-0.0174266435j,0.0998732373+0.0077367621j,0.1121685505+0.0014612619j,0.1118319333+0.0076089809j,0.1217846945+0.0198653117j,0.1021465212-0.0476173498j,0.0918522030-0.0750256777j,0.1024155021-0.0682927519j,0.1019115895-0.0812215954j,0.1083041951+0.1033489332j,0.0615480728+0.1430699080j,0.1133835763+0.0763005018j,0.0692357719+0.1328719109j,0.1589301378-0.0178865492j,0.1741365343+0.0159116723j,0.1306433976-0.0591945425j,0.1636436284-0.0188148338j
409,/m/06jzh,Robin Wright,award award nominee award nominations. award award nomination award nominee,0.1416124105+0.0577073433j,0.0930670500+0.0718033910j,0.1020787954+0.0665611401j,0.0687116235+0.0749228746j,-0.0257498510+0.1104181707j,0.0117367432+0.0780555084j,-0.0265593380+0.1188595593j,0.0117331119+0.0890403613j,0.1206736267-0.0837787241j,0.0249017105-0.1463806033j,0.1257165819-0.0058080824j,0.0803999305-0.0962735564j,-0.0184795409+0.1051510945j,0.0694852695+0.0269061178j,-0.0600914322+0.1069851294j,0.0659130663+0.0536827482j,0.1191805601+0.0575549603j,0.0828565806+0.1062005609j,0.0800866783+0.0539804809j,0.0559932776+0.0882057250j,-0.0818626434+0.1148149222j,-0.0547536686+0.1101658940j,-0.0871770158+0.1167204976j,-0.0588713773+0.1197344512j,0.0617488921-0.0884335265j,-0.0053063855-0.1617389023j,0.0760675371-0.0441742986j,0.0492182672-0.1207178235j,-0.0008718416+0.0812176019j,0.0853277892+0.0170180816j,-0.0386069492+0.0864617527j,0.0807454661+0.0537205189j,0.1420257092-0.0146447569j,0.1249137893-0.0143686589j,0.1222904995-0.0600357428j,0.1048288867-0.0635199845j,0.0622859150+0.0863699839j,0.0811117589+0.0155710066j,0.1226626858+0.0472704917j,0.0954424664-0.0400358550j,-0.0025016586-0.1324436665j,-0.1552891135-0.0806470886j,0.0019587211-0.1223657280j,-0.1373862028-0.0583474189j,0.0998604521+0.0405846313j,0.0240668356-0.0869837329j,0.1243255585+0.0211261753j,-0.0044510216-0.0948317200j,0.1308403909+0.0007585054j,0.1570151895+0.0324356817j,0.1059556901-0.0422858857j,0.1322925538-0.0390719064j,0.0299805980+0.1423045844j,0.0912759304+0.1151320487j,0.1191642061+0.1217262596j,0.1642706394+0.0420837477j,-0.0324903429-0.0946444571j,-0.1903739870-0.0623434447j,-0.0359478407-0.0816484913j,-0.1642612517-0.0235703439j,0.0836903974+0.0242991149j,0.0216771625-0.1168778390j,0.1058629230+0.0111434590j,-0.0135713406-0.1259472072j
12149,/m/032s66,Gunshot,people cause of death people,0.0437718518-0.0433745719j,0.0607099496-0.0479668230j,0.0497216433-0.0203331467j,0.0640097708-0.0154666873j,0.1134876236-0.0668512136j,0.0838478878-0.0733743757j,0.0999375433-0.0190830324j,0.0786537975-0.0273192637j,0.0744829997-0.0392650291j,0.0991640985+0.0416686945j,0.0822430104-0.0244231559j,0.0882476196+0.0671010464j,0.1531715542-0.0760971382j,0.1503764689+0.0193913244j,0.1487143934-0.0457161404j,0.1295564771+0.0460155196j,0.0552582815-0.0256897286j,0.0659242123-0.0487792604j,0.0485894158-0.0017119870j,0.0624978021-0.0130248517j,0.1467281133-0.0638356507j,0.0882311240-0.1137693152j,0.1106235832-0.0074903341j,0.0833199844-0.0487489998j,0.0821667984+0.0003110655j,0.0891694501+0.0582973249j,0.0751466453+0.0150502594j,0.0677055120+0.0739293247j,0.1987952143-0.0422165990j,0.1870669127+0.0112132002j,0.1660639346-0.0084656607j,0.1469308883+0.0409911573j,0.0861986130-0.0127943363j,0.0983019397-0.0247896556j,0.0905357003+0.0037990185j,0.1024412066-0.0048441356j,0.1175687462-0.0808346421j,0.0614843741-0.0949866995j,0.1190700009-0.0546346791j,0.0709561110-0.0732274950j,0.0964875147+0.0483181253j,0.0510832816+0.1066403016j,0.1145084798+0.0583353825j,0.0558334514+0.1321199089j,0.1591858566-0.0364527628j,0.1232250631+0.0166061036j,0.1663406193-0.0412614681j,0.1321580559+0.0214144047j,0.0858845413+0.0140381716j,0.1049269661-0.0268305317j,0.0779943690+0.0283974353j,0.0999503583-0.0057418123j,0.1529726386-0.0882559866j,0.0496957675-0.1395608038j,0.1368262619-0.0507704504j,0.0608770475-0.1034696177j,0.0657899082+0.0860003531j,0.0364395417+0.1155110672j,0.0719497651+0.0941319466j,0.0352332294+0.1295435131j,0.1983040571-0.0039606504j,0.1578782946+0.0020846659j,0.1880095303-0.0075661642j,0.1529986709+0.0062613916j
4506,/m/01pcdn,Kristin Davis,base popstra celebrity dated. base popstra dated participant,0.1362932920+0.0603287853j,0.1359043568+0.0311737880j,0.1546659619+0.0986202285j,0.1404002011+0.0246434920j,0.0369338989+0.1071052924j,0.0807632431+0.0745120570j,0.0446052589+0.1870711595j,0.1255300045+0.0883821920j,0.1527442485-0.0389082655j,0.1027566642-0.0729707405j,0.1610471606+0.0273184627j,0.0983618423-0.0441698991j,0.0768859833+0.0963728130j,0.0950090066+0.0204964429j,0.0512832738+0.1671530008j,0.1080950126+0.0400513113j,0.0838816836+0.0715100989j,0.0995564014+0.0650708079j,0.0904642195+0.0952489078j,0.1060762703+0.0547730178j,0.0045873318+0.0819304436j,0.0428092182+0.0821309388j,0.0012196354+0.1362128556j,0.0793072134+0.0991766378j,0.1536571980-0.0313516855j,0.1330433935-0.0653241947j,0.1544052362+0.0235818308j,0.1170585304-0.0409854650j,0.0728161186+0.0960593373j,0.1053397134+0.0387699157j,0.0532081909+0.1556658745j,0.1181304306+0.0523168594j,0.1505874991-0.0534179881j,0.0648346469-0.1066184789j,0.1488351226-0.0914509296j,0.0089328801-0.1303050816j,0.1100894660+0.0754100531j,0.0851607621-0.0258016158j,0.1660755277+0.0590544604j,0.0704669580-0.0796847194j,0.0623143166-0.1192595363j,-0.0367221050-0.0849659666j,0.0614134260-0.1110546961j,-0.0523906834-0.0669469386j,0.1221696883+0.0282000601j,0.0461730361-0.0508631840j,0.1339818090+0.0294075832j,0.0270470884-0.0634477288j,0.1057296321-0.0050690118j,0.0731427968-0.0609179139j,0.1048344225-0.0367378369j,0.0299864225-0.0924431905j,0.0544943772+0.0705276951j,0.0687746182+0.0050755376j,0.0937567353+0.0617898479j,0.0657363385-0.0416732356j,0.0655025542-0.1032367274j,-0.0224955305-0.0956137031j,0.0530304573-0.0978207737j,-0.0488985442-0.0738368779j,0.1083157063+0.0341644287j,0.0583345667-0.0442510545j,0.1162285954+0.0252673086j,0.0328498818-0.0618276447j
4012,/m/01y8cr,Karl Malden,film actor film. film performance film,0.1022908241+0.0369166732j,0.0976658389+0.0291618183j,0.0967328399+0.0489898883j,0.0919880122+0.0229738317j,0.0323762447+0.0885117352j,0.0763245896+0.0607538670j,0.0163590237+0.1137920544j,0.0842796788+0.0703634918j,0.1278294027-0.0714816377j,0.0443439372-0.0916032195j,0.1395035982-0.0241967365j,0.0498902239-0.0722944289j,0.0590311550+0.1071987525j,0.0864560008-0.0063343216j,0.0124152228+0.1422275603j,0.0921720415+0.0142981540j,0.0784139782+0.0773211569j,0.0819461346+0.0823956802j,0.0588996075+0.0923814252j,0.0715560168+0.0810146928j,-0.0257067028+0.0951876119j,0.0261093043+0.1129158959j,-0.0636186898+0.1005074531j,0.0122384280+0.1283024997j,0.1430204660-0.0614554174j,0.0828274414-0.1067022979j,0.1524762809+0.0053745662j,0.0929746181-0.0713175163j,0.0290924273+0.1290615797j,0.1085433289+0.0327874459j,-0.0443709940+0.1500930190j,0.0986570865+0.0708444715j,0.1139403954-0.0501206666j,0.0578172617-0.0867289752j,0.0868082941-0.0869171098j,0.0043235673-0.0963575915j,0.1016862318+0.0918022096j,0.1247688979-0.0428416878j,0.1371306032+0.0712402239j,0.0986104459-0.0963900536j,0.0239805728-0.1583200693j,-0.0919846669-0.0538738295j,0.0004297505-0.1548274010j,-0.0918233767-0.0170983952j,0.1219639480+0.0497394502j,0.0223413743-0.0921808481j,0.1346156150+0.0506100878j,0.0021072598-0.0946436748j,0.1197728962-0.0001605524j,0.0969583690-0.0553216822j,0.1136491150-0.0319179446j,0.0593205988-0.0861340314j,0.0320505500+0.1296160817j,0.1379283667+0.0453424267j,0.0570694804+0.1369009316j,0.1502489001-0.0024765432j,0.0450395793-0.1645408124j,-0.1005073786-0.0971050709j,0.0364765190-0.1603049189j,-0.1064850539-0.0608613677j,0.1071250662+0.0839823633j,0.0668775514-0.0989732742j,0.1091557592+0.1000997126j,0.0541918799-0.1041574255j
3657,/m/023znp,Emerson College,education educational institution students graduates. education education student,0.0906602517+0.0239342619j,0.1060045436+0.0238309409j,0.0907502025+0.0390452743j,0.1235746443+0.0382895134j,0.1019143462+0.0132282088j,0.1165672988+0.0060715238j,0.0868329778+0.0092353672j,0.1104348078-0.0038077082j,0.0723982826+0.0265887789j,0.0865445286+0.0360933840j,0.0960205197+0.0482993759j,0.1315471828+0.0652872697j,0.1111897230+0.0178879220j,0.1328147501+0.0231196396j,0.1257764399+0.0126159452j,0.1680931300+0.0112892035j,0.0997241214+0.0228705313j,0.0992180109+0.0175617002j,0.1024752185+0.0016459024j,0.1132060513-0.0116685275j,0.1462289244-0.0027861816j,0.1394532323-0.0127884131j,0.1078075469-0.0415567718j,0.1078878567-0.0596102849j,0.0908792242+0.0129253427j,0.0933227837+0.0177706555j,0.1242365837-0.0107910335j,0.1468198895-0.0151673835j,0.1765358448-0.0344932750j,0.1807224751-0.0294168200j,0.1589271277-0.0987906605j,0.1793336719-0.1202719063j,0.0590936467+0.0474626459j,0.0739374906+0.0571678765j,0.0434440486+0.0583912209j,0.0677574277+0.0754561275j,0.0987863168-0.0029151267j,0.1181199253-0.0111674285j,0.0757959485+0.0048011881j,0.1013114154-0.0067355991j,0.0435309820+0.0517027453j,0.0511993915+0.0693246201j,0.0402963087+0.0767846927j,0.0563618541+0.1113558710j,0.1182055920+0.0094046295j,0.1478794813+0.0163179189j,0.1190387607+0.0154584236j,0.1673655361+0.0195499584j,0.0707500279+0.0420777984j,0.0756391212+0.0416561253j,0.0687467605+0.0312576741j,0.0845751017+0.0280217566j,0.1333513856-0.0407071710j,0.1324295104-0.0486725084j,0.0864762887-0.0506737791j,0.0894310251-0.0683930293j,0.0672413185+0.0426449701j,0.0703641251+0.0515119061j,0.0911282897+0.0422049128j,0.1141412258+0.0535934903j,0.1732165813-0.0734719709j,0.1910244524-0.0690115020j,0.1419947147-0.1074249521j,0.1727149040-0.1331844330j
2286,/m/03pn9,Second Polish Republic,location location adjoin s. location adjoining relationship adjoins,0.1983045638-0.0102006178j,0.1661658585+0.0051464345j,0.1201949567-0.1167869195j,0.1409304887-0.0609223247j,0.0918562263-0.0095554916j,0.1210118309-0.0096435910j,0.0458989367-0.0388922133j,0.0735625923-0.0304006077j,0.1365335435+0.1089307368j,0.0692133307+0.1256376803j,0.1053210124-0.0176823530j,0.0735005662+0.0492504314j,0.0653179809+0.0380652621j,0.0610322095+0.0737554431j,0.0315735750-0.0084403101j,0.0327044465+0.0188619643j,0.1809508204-0.1285176575j,0.1414153427-0.0831207111j,0.1026963741-0.1698298305j,0.1291246265-0.0990296677j,0.0923544168-0.0378843062j,0.1092411131-0.0405081734j,0.0521006994-0.0415584110j,0.0751491562-0.0263333209j,0.1203140467+0.0478434637j,0.0637123883+0.0714345500j,0.0839791074-0.0121676326j,0.0479111895+0.0413902178j,0.0487734117+0.0284483358j,0.0376838334+0.0531542525j,0.0248093680+0.0013877628j,0.0145748053+0.0219669789j,0.1593303382+0.0823461339j,0.1510536820+0.0458017588j,0.1728990376+0.0177674629j,0.1617163420+0.0345408842j,0.0891747773-0.0371112935j,0.1174552441-0.0766274557j,0.0500738695-0.0400739983j,0.0858496875-0.0543012097j,0.1157988980+0.1702056527j,0.0810594335+0.1519309133j,0.1277628839+0.0667772740j,0.0730539188+0.0990930945j,0.1067886800-0.0005446938j,0.1428079605+0.0122338496j,0.0423202328-0.0222720187j,0.0672183856+0.0017154519j,0.1783257276-0.0784868896j,0.1276607811-0.0846481249j,0.1763110012-0.0913183093j,0.1591182947-0.0586222820j,0.0550597347-0.0798743516j,0.0489862151-0.1131498367j,0.0419714414-0.0539687313j,0.0658528134-0.0698520243j,0.1415337026+0.0365572497j,0.1010294929+0.0419236459j,0.1073406264+0.0087436503j,0.0666826516+0.0442565791j,0.0643143356-0.0265332032j,0.0773828700-0.0227082856j,0.0279335883-0.0165700614j,0.0385844260+0.0002906383j
12066,/m/0cv2m,Chhattisgarh,base aareas schema administrative area administrative parent,0.0948156342+0.0117842052j,0.0882308930-0.0008300836j,0.1153470948+0.0094225965j,0.0928677768+0.0136402100j,0.1179315448-0.0232558772j,0.1121233851-0.0391908474j,0.1628812104-0.0064936606j,0.1422657669+0.0026131133j,0.1325464994+0.0416272990j,0.0958596990+0.0723153800j,0.1198530197+0.0508627668j,0.0578152835+0.0817166716j,0.1427704394-0.0362642668j,0.1327609867+0.0140213780j,0.1521869898+0.0065125474j,0.1015773937+0.0704595074j,0.1119214743-0.0391948670j,0.0933556408-0.0359500125j,0.1131184995-0.0854331031j,0.0926735699-0.0499271415j,0.1385658681-0.0416682176j,0.1250239611-0.0432665348j,0.1762824655-0.0765728056j,0.1497732252-0.0400561690j,0.1505548507+0.0381407402j,0.1000281647+0.0813500062j,0.1420973986+0.0094788810j,0.0801587775+0.0688674450j,0.1600253284+0.0093373135j,0.1221966073+0.0684980601j,0.1621492058+0.0113518741j,0.0949566811+0.0856130868j,0.0860791281+0.0157393795j,0.0678311288+0.0100553352j,0.0980195105-0.0088032130j,0.0671827793+0.0045762784j,0.1123864576-0.0425338969j,0.0927264318-0.0414118767j,0.1420970559-0.0642058253j,0.1109664291-0.0334322676j,0.1209696084+0.0624772161j,0.0627437532+0.0795048252j,0.1108465493+0.0414555855j,0.0428382307+0.0654954314j,0.1458321512-0.0442953892j,0.1183095351+0.0158953499j,0.1470756680-0.0335181542j,0.0970146060+0.0416149832j,0.0970186889-0.0248830244j,0.0699706003-0.0133832153j,0.0781066790-0.0810084045j,0.0596389137-0.0376643799j,0.1233049482-0.0531800538j,0.0981455371-0.0366727151j,0.1241402626-0.1152714789j,0.1014455855-0.0575069152j,0.1228142902+0.0610120222j,0.0549467504+0.0814730898j,0.1176868081+0.0065137837j,0.0540611595+0.0530963689j,0.1542377472+0.0090321880j,0.0972900465+0.0653797314j,0.1476264596-0.0222737920j,0.0850252584+0.0566273183j
1679,/m/028cg00,The Mummy - Tomb of the Dragon Emperor,film film other crew. film film crew gig film crew role,0.0706492737-0.0618078075j,0.0664214939-0.0398092680j,0.0488680787-0.0477733165j,0.0556520894-0.0212999582j,0.0951693431-0.0848737657j,0.1226177514-0.0322401933j,0.0876634493-0.0408800766j,0.0943076238+0.0261782967j,0.1212996989-0.0085801203j,0.0590331070+0.0758728981j,0.0787447914-0.0196454730j,0.0406929851+0.0585392602j,0.1439639628-0.0169676729j,0.0616884232+0.1296893358j,0.1005703881+0.0063293953j,0.0034324969+0.1076627746j,0.0519723147-0.1045917943j,0.0715269223-0.0781228393j,0.0571561381-0.0758207217j,0.0800544471-0.0369172916j,0.0778018981-0.1145652682j,0.1410555840-0.0585128516j,0.1032869965-0.0541452877j,0.1194364876+0.0390435457j,0.1560282707-0.0101725962j,0.0679666102+0.1124996245j,0.1167035922-0.0005875687j,0.0295763128+0.1029893756j,0.1611011475+0.0075201024j,0.0294961873+0.1684596688j,0.1153433993+0.0513497256j,-0.0567539334+0.1286010742j,-0.0168316346-0.0893182531j,-0.0167425461-0.0857928619j,-0.0071620345-0.0646616518j,0.0078404490-0.0655847788j,0.0168669093-0.1086780056j,0.0548758209-0.1180256456j,0.0435775407-0.0690077394j,0.0882980302-0.0461780168j,0.1373419762-0.0150782811j,0.0869795457+0.0708514228j,0.0856154189-0.0120348809j,0.0490644313+0.0591984838j,0.1479052454+0.0246736724j,0.0527592078+0.1458085030j,0.0865065828+0.0449572615j,-0.0206212960+0.1071589366j,-0.0574109852-0.1251473427j,-0.0428932682-0.1401387602j,-0.0129654910-0.1057111323j,0.0252946205-0.1126227304j,0.0080872308-0.1446879655j,0.0892978236-0.1698799580j,0.0709336400-0.0916912109j,0.1460350156-0.0394459367j,0.1928363591+0.0088788774j,0.0940715745+0.1378024518j,0.1315038055+0.0295962878j,0.0279508568+0.1213749945j,0.1610277891+0.0831396580j,-0.0184243061+0.2000548840j,0.0762014464+0.1078811288j,-0.1074149162+0.1092187464j
