entity_id,entity_raw,entity,degree
32,/m/09c7w0,United States of America,7614
90,/m/09nqf,United States Dollar,4286
434,/m/04ztj,Marriage,2992
596,/m/08f3b1,Sarah Palin,31
740,/m/0fkvn,Governor-GB,89
873,/m/05pcjw,Private university,112
1131,/m/07ww5,United States Virgin Islands,16
1199,/m/0bjrnt,Master of Arts,59
1404,/m/0gxtknx,Seven Psychopaths,56
1493,/m/06ms6,Sociology,86
1768,/m/03z19,Internal Revenue Service,126
1770,/m/063vn,Pierre Trudeau,23
1774,/m/09k56b7,Black Swan,101
1800,/m/04rjg,Mathematics,147
2090,/m/06wrt,Sailing,103
2165,/m/0d06vc,Iraq War,19
2357,/m/0631_,Presbyterianism,55
2361,/m/05whq_9,Werner Herzog,20
2392,/m/0gz6b6g,End of Watch,55
2433,/m/02mjmr,Barack Obama,63
2455,/m/02ck1,Dmitri Shostakovich,27
2722,/m/06sks6,2012 Summer Olympics,322
2767,/m/0c7lcx,Kevin Corrigan,23
2940,/m/01g5v,Blue,212
2956,/m/01rs41,Private school,130
3041,/m/01jbx1,Tyra Banks,37
3064,/m/0jc_p,Orange,44
3188,/m/0d1_f,Elizabeth II,25
3447,/m/052h3,Murray Rothbard,21
3451,/m/03lmx1,Scottish people,24
3485,/m/03ryn,Indonesia,138
3504,/m/01n1gc,Ben Stein,28
3587,/m/0bt7ws,Angela Kinsey,78
3676,/m/0mj0c,William James,27
3701,/m/03hkp,Hebrew Language,29
3705,/m/01___w,Lecturer-GB,7
3765,/m/0hyxv,Glasgow,50
3780,/m/06z6r,Swimming,180
3827,/m/0d05q4,Iraq,59
3854,/m/04gqr,Libya,42
3930,/m/09b6zr,George W. Bush,50
4212,/m/0d05fv,Al Gore,40
4288,/m/019sc,Black,175
4338,/m/0h03fhx,Argo,123
4770,/m/0d7wh,British people,41
4881,/m/0g2mbn,Aasif Mandvi,33
4888,/m/026cl_m,Time 100,24
4899,/m/03f77,Gordon Brown,22
4921,/m/02hrh0_,Honolulu,34
4925,/m/01pqy_,Kelly Preston,38
4988,/m/0bv7t,Toni Morrison,25
5083,/m/06h2w,Ron Carter,28
5268,/m/01pk3z,Anna Faris,38
5521,/m/0x3r3,John Rawls,22
5639,/m/04s430,Chris Parnell,30
5949,/m/03gh4,Hawaii,94
6170,/m/0404j37,The Hurt Locker,87
6722,/m/0dbc1s,David Mandel,32
6993,/m/07c5l,Americas,41
7031,/m/0g9z_32,The Dictator,32
7072,/m/07h5d,Terry Gilliam,43
7223,/m/0gls4q_,Jeff Schaffer,32
7410,/m/05rrtf,Spyglass Entertainment,29
7414,/m/02q0k7v,Body of Lies,33
7563,/m/02x3y41,Green Zone,31
7629,/m/02d9nr,Punahou School,16
7882,/m/02z3zp,Garry Shandling,38
8010,/m/030vnj,Luke Wilson,41
8059,/m/016fly,Professor-GB,23
8284,/m/05q2c,Occidental College,32
8315,/m/0hz_1,Michael J. Fox,40
8357,/m/05vk_d,Megan Fox,35
8800,/m/0d8qb,Journalist-GB,57
8824,/m/06y3r,Steve Jobs,24
9116,/m/0633p0,Anna Deavere Smith,28
9235,/m/04fv0k,Marriott International,27
9309,/m/024jvz,"United States presidential election, 2008",3
9310,/m/07wcy,United States presidential election,1
9397,/m/01c9x,Labour Party,5
9398,/m/0948xk,Tony Blair,20
9563,/m/0fxky3,Alec Berg,28
9836,/m/0p5vf,Member of Parliament-GB,31
10086,/m/09x7p1,War in North-West Pakistan,6
10087,/m/07wj1,United States Air Force-GB,11
10304,/m/021r6w,Edward Dmytryk,13
10394,/m/0969fd,Edward Said,20
10735,/m/06g4_,Richard Dawkins,28
10933,/m/0gfhg1y,Libyan Civil War,5
10934,/m/01cpjx,Major General,3
11005,/m/08_hns,David Petraeus,14
11220,/m/0444x,Jack Kemp,18
11223,/m/042g7t,Atlantic Time Zone-US,15
11270,/m/0168t,British Virgin Islands,10
11328,/m/044rv,Jakarta,11
11534,/m/0d6qjf,Central Intelligence Agency (CIA),8
11847,/m/01my95,Roger Federer,13
12170,/m/014vk4,Condoleezza Rice,32
12294,/m/05hwn,Khyber Pakhtunkhwa,5
12427,/m/0pgm3,Chris Elliott,17
12637,/m/079dy,Saddam Hussein,13
13098,/m/01cpp0,2003 invasion of Iraq,11
13970,/m/0v74,al-Qaeda,4
14101,/m/0j1_3,Java,3
14144,/m/060s9,Prime Minister of the United Kingdom,2
14314,/m/0190_8,Church of Scotland,2
14496,/m/060m4,Prime Minister of Canada,1
