head,relation,tail
Brad Dourif,people person gender,Male
Courteney Cox,people person gender,Female
Ivan Reitman,people person gender,Male
Jeffrey Tambor,people person gender,Male
Peter Wentz,people person gender,Male
Jackie Cooper,people person gender,Male
Sridevi,people person gender,Female
Hilary Duff,people person gender,Female
Bette Davis,people person gender,Female
Ron W. Miller,people person gender,Male
"Clifton Collins, Jr.",people person gender,Male
Jon Lovitz,people person gender,Male
Tinnu Anand,people person gender,Male
Aamir Khan,people person gender,Male
Thomas Little,people person gender,Male
Eddie Izzard,people person gender,Male
Jack Kerouac,people person gender,Male
Martin Donovan,people person gender,Male
Al Green,people person gender,Male
Joseph Gordon-Levitt,people person gender,Male
