head,relation,tail
Kaneto Shiozawa,people person nationality,Japan
Will Smith,people person nationality,United States of America
T. S. Eliot,people person nationality,United Kingdom
Christopher Hampton,people person nationality,United Kingdom
Steve McQueen,people person nationality,United States of America
Matthew Perry,people person nationality,United States of America
Cy Coleman,people person nationality,United States of America
William McKinley,people person nationality,United States of America
Norman Foster,people person nationality,England
Philip Baker Hall,people person nationality,United States of America
Lou Diamond Phillips,people person nationality,United States of America
Lindy Hemming,people person nationality,United Kingdom
Colin Powell,people person nationality,United States of America
Mark Berger,people person nationality,United States of America
Fatboy Slim,people person nationality,United Kingdom
Gene Roddenberry,people person nationality,United States of America
Tony Walton,people person nationality,England
KT Tunstall,people person nationality,United Kingdom
Raquel Welch,people person nationality,United States of America
Shammi Kapoor,people person nationality,India
