head,relation,tail
Alan Burnett,people person place of birth,United States of America
Anjelica Huston,people person place of birth,Santa Monica
Billy West,people person place of birth,Detroit
J.K. Simmons,people person place of birth,Detroit
Curtis Armstrong,people person place of birth,Detroit
Moby,people person place of birth,Harlem
Walter Lantz,people person place of birth,New Rochelle
Don Heck,people person place of birth,Jamaica
Chris Thomas King,people person place of birth,Baton Rouge
Georg Solti,people person place of birth,Budapest
Dean Devlin,people person place of birth,New York City
Bai Ling,people person place of birth,Chengdu
John Wood,people person place of birth,Derbyshire
Eddie Albert,people person place of birth,Rock Island
Chris Cooper,people person place of birth,Kansas City
Patti Smith,people person place of birth,Chicago
Tate Donovan,people person place of birth,New York City
Harvey Keitel,people person place of birth,Brooklyn
Amy Irving,people person place of birth,Palo Alto
Kevin Corrigan,people person place of birth,The Bronx
