head,relation,tail
Peter Morgan,people person places lived. people place lived location,London
Stewart Copeland,people person places lived. people place lived location,Beirut
Joe Hisaishi,people person places lived. people place lived location,Nagano Prefecture
Gary Busey,people person places lived. people place lived location,Tulsa
Arnold Schoenberg,people person places lived. people place lived location,Vienna
Peter Coyote,people person places lived. people place lived location,Englewood
Dennis Rodman,people person places lived. people place lived location,Trenton
Robbie Williams,people person places lived. people place lived location,Stoke-on-Trent
Alan Ladd,people person places lived. people place lived location,North Hollywood
Elisha Cuthbert,people person places lived. people place lived location,Calgary
Glen Ballard,people person places lived. people place lived location,Natchez
"Arthur Wellesley, 1st Duke of Wellington",people person places lived. people place lived location,County Dublin
Robert Rodriguez,people person places lived. people place lived location,San Antonio
Frances McDormand,people person places lived. people place lived location,New York City
Billy Bob Thornton,people person places lived. people place lived location,California
Carla Gugino,people person places lived. people place lived location,Los Angeles
Eva Longoria,people person places lived. people place lived location,Los Angeles
Amy Grant,people person places lived. people place lived location,Augusta
Jay Baruchel,people person places lived. people place lived location,Montreal
Tara Strong,people person places lived. people place lived location,Toronto
