head_id,head,relation_id,relation,tail_id,tail
755,Matthew Perry,48,people person nationality,32,United States of America
740,Governor-GB,37,government government office category officeholders. government government position held jurisdiction of office,1131,United States Virgin Islands
1330,Master of Arts,112,education educational degree people with this degree. education education major field of study,1493,Sociology
1774,Black Swan,34,film film estimated budget. measurement unit dated money value currency,90,United States Dollar
2018,Joseph Campbell,21,influence influence node influenced by,2019,Arthur Schopenhauer
664,Timothy Olyphant,8,award award nominee award nominations. award award nomination award nominee,2313,Anna Gunn
3052,Deadwood,185,tv tv program country of origin,32,United States of America
3384,Tia Carrere,19,award award nominee award nominations. award award nomination award,3385,MTV Movie Award for Best Dance Sequence
2381,Molly Parker,8,award award nominee award nominations. award award nomination award nominee,3398,Powers Boothe
3440,Honolulu County,33,location statistical region rent50 2. measurement unit dated money value currency,90,United States Dollar
3676,William James,17,people person profession,2006,Author-GB
3749,Jason Momoa,8,award award nominee award nominations. award award nomination award nominee,3750,Lena Headey
596,Sarah Palin,17,people person profession,2006,Author-GB
2090,Sailing,104,olympics olympic sport athletes. olympics olympic athlete affiliation olympics,2722,2012 Summer Olympics
4593,Robert L. Surtees,43,people person gender,141,Male
4212,Al Gore,60,base schemastaging person extra net worth. measurement unit dated money value currency,90,United States Dollar
3373,Texas,18,location statistical region religions. location religion percentage religion,2357,Presbyterianism
2165,Iraq War,88,base culturalevent event entity involved,4899,Gordon Brown
5154,Jeffrey Jones,8,award award nominee award nominations. award award nomination award nominee,2381,Molly Parker
5267,Germans,71,people ethnicity people,5268,Anna Faris
3587,Angela Kinsey,17,people person profession,862,Actor-GB
6145,French Polynesia,206,location statistical region gdp real. measurement unit adjusted money value adjustment currency,90,United States Dollar
5521,John Rawls,43,people person gender,141,Male
5335,Charlie's Angels: Full Throttle,34,film film estimated budget. measurement unit dated money value currency,90,United States Dollar
1906,Titus Welliver,85,people person spouse s. people marriage type of union,434,Marriage
5267,Germans,71,people ethnicity people,2361,Werner Herzog
6767,Mark Addy,8,award award nominee award nominations. award award nomination award nominee,6768,Peter Dinklage
802,Tate Donovan,43,people person gender,141,Male
6993,Americas,15,location location contains,1131,United States Virgin Islands
4881,Aasif Mandvi,6,film actor film. film performance film,7031,The Dictator
7105,Trevor Howard,17,people person profession,862,Actor-GB
7215,Pablo Picasso-GB,43,people person gender,141,Male
4912,Donald Sumpter,8,award award nominee award nominations. award award nomination award nominee,2469,Aidan Gillen
7414,Body of Lies,34,film film estimated budget. measurement unit dated money value currency,90,United States Dollar
4212,Al Gore,45,base popstra celebrity friendship. base popstra friendship participant,2433,Barack Obama
32,United States of America,15,location location contains,5686,Bethesda
4394,Scream 2,28,film film country,32,United States of America
3384,Tia Carrere,8,award award nominee award nominations. award award nomination award nominee,2161,Arnold Schwarzenegger
7629,Punahou School,22,education educational institution students graduates. education education student,4925,Kelly Preston
