entity_id,entity_raw,entity,degree
32,/m/09c7w0,United States of America,7614
90,/m/09nqf,United States Dollar,4286
105,/m/0k049,Beverly Hills,95
135,/m/06w99h3,Rango,40
141,/m/05zppz,Male,2928
243,/m/0cbd2,Writer-GB,441
245,/m/05l2z4,90th United States Congress,46
434,/m/04ztj,Marriage,2992
512,/m/021sv1,Daniel Inouye,36
596,/m/08f3b1,Sarah Palin,31
664,/m/05ml_s,Timothy Olyphant,32
740,/m/0fkvn,Governor-GB,89
755,/m/01hxs4,Matthew Perry,56
802,/m/03pmty,Tate Donovan,73
862,/m/02hrh1q,Actor-GB,2272
873,/m/05pcjw,Private university,112
935,/m/0cqh6z,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Drama Series,75
1131,/m/07ww5,United States Virgin Islands,16
1199,/m/0bjrnt,Master of Arts,59
1214,/m/0r7fy,Modesto,17
1253,/m/033tf_,Irish American,154
1330,/m/0bkj86,Master of Arts,206
1404,/m/0gxtknx,Seven Psychopaths,56
1493,/m/06ms6,Sociology,86
1669,/m/05rgl,Pacific Ocean,30
1768,/m/03z19,Internal Revenue Service,126
1770,/m/063vn,Pierre Trudeau,23
1774,/m/09k56b7,Black Swan,101
1800,/m/04rjg,Mathematics,147
1906,/m/0f6_dy,Titus Welliver,42
2006,/m/0kyk,Author-GB,292
2018,/m/0453t,Joseph Campbell,17
2019,/m/0j3v,Arthur Schopenhauer,45
2090,/m/06wrt,Sailing,103
2132,/m/01gkgk,Member of Congress,17
2161,/m/0tc7,Arnold Schwarzenegger,53
2165,/m/0d06vc,Iraq War,19
2313,/m/03mcwq3,Anna Gunn,38
2349,/m/06hwzy,Dancing with the Stars,34
2357,/m/0631_,Presbyterianism,55
2361,/m/05whq_9,Werner Herzog,20
2381,/m/05th8t,Molly Parker,56
2392,/m/0gz6b6g,End of Watch,55
2412,/m/01pnn3,Elizabeth Hurley,34
2433,/m/02mjmr,Barack Obama,63
2455,/m/02ck1,Dmitri Shostakovich,27
2469,/m/059t6d,Aidan Gillen,27
2501,/m/0f__1,Louisville,40
2722,/m/06sks6,2012 Summer Olympics,322
2767,/m/0c7lcx,Kevin Corrigan,23
2824,/m/0dn3n,Meg Ryan,53
2940,/m/01g5v,Blue,212
2956,/m/01rs41,Private school,130
3041,/m/01jbx1,Tyra Banks,37
3052,/m/039c26,Deadwood,55
3064,/m/0jc_p,Orange,44
3169,/m/01w5m,Columbia University,144
3188,/m/0d1_f,Elizabeth II,25
3222,/m/043q4d,Contestant,50
3324,/m/07hwkr,White American,104
3373,/m/07b_l,Texas,148
3384,/m/0253b6,Tia Carrere,20
3385,/m/0hnf5vm,MTV Movie Award for Best Dance Sequence,40
3398,/m/02p7_k,Powers Boothe,61
3440,/m/03fb3t,Honolulu County,9
3447,/m/052h3,Murray Rothbard,21
3451,/m/03lmx1,Scottish people,24
3485,/m/03ryn,Indonesia,138
3501,/m/04gp1d,92nd United States Congress,47
3504,/m/01n1gc,Ben Stein,28
3587,/m/0bt7ws,Angela Kinsey,78
3676,/m/0mj0c,William James,27
3701,/m/03hkp,Hebrew Language,29
3705,/m/01___w,Lecturer-GB,7
3730,/m/0fdys,English Literature,98
3749,/m/06gh0t,Jason Momoa,27
3750,/m/06mnbn,Lena Headey,31
3765,/m/0hyxv,Glasgow,50
3780,/m/06z6r,Swimming,180
3827,/m/0d05q4,Iraq,59
3843,/m/02648p,Stargate Atlantis,10
3854,/m/04gqr,Libya,42
3930,/m/09b6zr,George W. Bush,50
4212,/m/0d05fv,Al Gore,40
4288,/m/019sc,Black,175
4338,/m/0h03fhx,Argo,123
4394,/m/02v5_g,Scream 2,37
4539,/m/04107,John Steinbeck,22
4593,/m/06g60w,Robert L. Surtees,26
4770,/m/0d7wh,British people,41
4775,/m/02rcwq0,Damages,38
4881,/m/0g2mbn,Aasif Mandvi,33
4888,/m/026cl_m,Time 100,24
4899,/m/03f77,Gordon Brown,22
4912,/m/026g801,Donald Sumpter,24
4921,/m/02hrh0_,Honolulu,34
4925,/m/01pqy_,Kelly Preston,38
4940,/m/0ptxj,The Towering Inferno,48
4974,/m/046zh,Julia Roberts,137
4988,/m/0bv7t,Toni Morrison,25
5083,/m/06h2w,Ron Carter,28
5154,/m/02rf1y,Jeffrey Jones,37
5267,/m/013xrm,Germans,53
5268,/m/01pk3z,Anna Faris,38
5335,/m/01l_pn,Charlie's Angels: Full Throttle,59
5358,/m/01kpt,Bronze Star Medal,5
5382,/m/0466p0j,51st Annual Grammy Awards-US,134
5470,/m/01clyr,Polydor Records,50
5476,/m/01nnsv,George Washington University,35
5521,/m/0x3r3,John Rawls,22
5639,/m/04s430,Chris Parnell,30
5686,/m/0bxbr,Bethesda,10
5701,/m/06r713,88th United States Congress,47
5886,/m/01w9wwg,Will.i.am,65
5888,/m/025cn2,Paul Francis Webster,24
