entity_id,entity_raw,entity,degree
32,/m/09c7w0,United States of America,7614
43,/m/0rh6k,"Washington, D.C.",195
62,/m/08mbj5d,Official Website,3612
141,/m/05zppz,Male,2928
259,/m/02vxn,Film,129
384,/m/02zsn,Female,811
395,/m/05hj0n,Kathleen Quinlan,32
400,/m/06cs95,Into the West,23
401,/m/02nb2s,Matthew Modine,16
431,/m/01nqfh_,Brian Tyler,27
466,/m/02n4kr,Mystery,250
580,/m/05kj_,Oregon,97
645,/m/0415svh,Gary Goetzman,57
700,/m/03ds3,Gary Busey,20
720,/m/01yk13,John Lithgow,61
773,/m/0vmt,Arizona,87
791,/m/0jbk9,United States Department of Housing and Urban Development,792
901,/m/01_mdl,Superman,62
1092,/m/016hvl,Pier Paolo Pasolini,21
1192,/m/0np9r,Voice Actor,348
1560,/m/02wrhj,Maurice LaMarche,12
1766,/m/01fh9,Billy Bob Thornton,57
1770,/m/063vn,Pierre Trudeau,23
1787,/m/03fvqg,Eddie Albert,21
1871,/m/0kvgxk,The Ice Storm,42
1874,/m/02hczc,Mountain Time Zone-US,70
1917,/m/06pj8,Steven Spielberg,245
2107,/m/04y8r,Michael Mann,56
2213,/m/09pl3s,Roberto Orci,34
2308,/m/0hcr,Animation,176
2388,/m/02xry,Florida,134
2415,/m/0d7hg4,Edward Kitsis,45
2438,/m/02hcv8,Eastern Time Zone,455
2456,/m/0kpl,Atheism,147
2524,/m/01w724,Billy Preston,65
2662,/m/0249kn,Nitty Gritty Dirt Band,51
2781,/m/09yhzs,Emma Stone,56
2897,/m/09b0xs,Tom Ruegger,49
2910,/m/016srn,Randy Travis,68
3410,/m/024mxd,Superman IV: The Quest For Peace,38
3544,/m/03xkps,Beau Bridges,39
3582,/m/0d_wms,Superman II: The Richard Donner Cut,39
3734,/m/04w391,Shia LaBeouf,84
3770,/m/01xndd,J.J. Abrams,86
3771,/m/04m_zp,Graham Yost,41
3797,/m/0bqsy,Nelly Furtado,42
3939,/m/0c3351,Suspense,119
3949,/m/03q8ch,Michael Kahn,46
4120,/m/0kvnn,Elliott Smith,33
4152,/m/0d35y,Phoenix,42
4295,/m/01gb54,DreamWorks,190
4574,/m/02hfk5,The Barbarian Invasions,32
4580,/m/016szr,Randy Newman,92
4614,/m/03ct7jd,Eagle Eye,22
4825,/m/01kb2j,Julianne Moore,127
4894,/m/05m9f9,Tim Van Patten,44
5026,/m/02c6pq,Simon Baker,49
5055,/m/03cv_gy,John Adams,58
5179,/m/016s_5,John Fogerty,39
5188,/m/014v6f,"Cuba Gooding, Jr.",64
5195,/m/01c6l,Brian De Palma,26
5245,/m/01z77k,Miniseries,40
5286,/m/02tkzn,Ed Asner,32
5333,/m/0g8_vp,Canadian-American,21
5556,/m/06jrhz,Paul Dini,48
5725,/m/09pl3f,Alex Kurtzman,32
5747,/m/0bbm7r,Elizabeth I,34
5748,/m/07z2lx,Primetime Emmy Award for Outstanding Miniseries,25
5949,/m/03gh4,Hawaii,94
6022,/m/078g3l,John Heard,9
6212,/m/0n5j7,Camden County,13
6213,/m/0pzmf,Camden,14
6237,/m/01rrd4,Matt LeBlanc,55
6350,/m/013t9y,George Miller,25
6615,/m/05fjf,New Jersey,157
6979,/m/0677ng,Swizz Beatz,55
6986,/m/02gf_l,Frank Welker,29
7129,/m/0m27n,Maricopa County,25
7218,/m/09v82c0,"Primetime Emmy Award for Outstanding Costumes for a Miniseries, Movie or a Special",26
7227,/m/0h5j77,Mikael Salomon,26
7242,/m/0d608,Dan Aykroyd,46
7405,/m/095bb,Animated cartoon,16
7432,/m/0215n,Cartoon,13
7499,/m/0c35b1,Anthony Mackie,35
7612,/m/02n9k,Eleanor Roosevelt,18
7760,/m/029m83,Sydney Pollack,61
7811,/m/02w29z,Alan Tudyk,37
7879,/m/02dlfh,David Spade,49
7941,/m/04mlmx,Margot Kidder,18
7999,/m/0hfjk,Western,66
8038,/m/02_t2t,Rufus Wainwright,26
8093,/m/023361,Jerry Goldsmith,59
8094,/m/0q9zc,Larry David,65
8111,/m/04gmlt,DreamWorks Records,13
8112,/m/01jkqfz,Asleep at the Wheel,40
8215,/m/0cvkv5,Volver,36
8291,/m/027d5g5,Tonino Guerra,13
8316,/m/02q5bx2,Tin Man,33
8387,/m/02qjv1p,The Pacific,30
8594,/m/01x9_8,Rachael Leigh Cook,20
8680,/m/06d6y,Richard Matheson,19
8851,/m/022qw7,Patrick McGoohan,18
8883,/m/030vmc,John Landis,19
9049,/m/0kbwb,Wayne's World,29
9050,/m/0qpqn,Scottsdale,23
9092,/m/01vhrz,David Geffen,46
9503,/m/02tn0_,Tony Scott,45
9650,/m/05f5rsr,1982 Cannes Film Festival,15
9827,/m/0sw62,Nancy Cartwright,16
9870,/m/05vtbl,Bruce Timm,37
9877,/m/025s89p,Animated series,15
9904,/m/03_2y,John Woo,30
10015,/m/027l4q,Pacific Palisades,15
10075,/m/0rk71,Naples,14
10096,/m/0jgm8,Collier County,14
10429,/m/016376,The Isley Brothers,29
10614,/m/02j490,Ray Liotta,25
10685,/m/01rw116,Scatman Crothers,18
10840,/m/0k6yt1,Eve,33
10948,/m/03wf1p2,2000 Cannes Film Festival,23
10988,/m/0hcvy,Graham Greene,22
11045,/m/07tvwy,Cameron Mitchell,7
11094,/m/025x1t,Freakazoid!,23
11121,/m/0pqzh,Rod Serling,23
11230,/m/0p1l2,John F. Kennedy International Airport,2
11287,/m/09fqdt,Eric Rodwell,2
11290,/m/04dyqk,Bob Clark,15
11346,/m/098z9w,WCW WorldWide,2
11347,/m/01rzxl,Hulk Hogan,17
11398,/m/04sh80,Twilight Zone: The Movie,24
11771,/m/0sw6y,Tress MacNeille,18
11834,/m/03ctqqf,Cranford-GB,23
11840,/m/021npv,Tom Berenger,21
11931,/m/042g97,Superman III,45
11972,/m/0m68w,Sandra Bernhard,26
12075,/m/0qpsn,Tempe,15
12119,/m/085gk,Walt Whitman,19
12153,/m/04xbr4,Kevin McCarthy,13
12217,/m/05bnx3j,Rebecca Eaton,23
12298,/m/0468g4r,Cannes Film Festival Award for Best Screenplay,9
12784,/m/0kcd5,TNT,9
13169,/m/0r_ch,Hilo,2
13959,/m/01kyln,LaGuardia Airport,1
13986,/m/01dz7z,First Lady,2
13988,/m/01nvdc,Major League Baseball All-Star Game,1
14090,/m/01950l,Dark Horse Comics,2
14244,/m/03cxqp5,Paul Soloway,1
14270,/m/025sh_8,Washington metropolitan area,1
14350,/m/09f5pp,Bob Hamman,2
14445,/m/02z3cm0,ECW Hardcore TV,1
