anchor_id,anchor_raw,anchor_text,rank,neighbor_id,neighbor_raw,neighbor_text,cosine_similarity
10476,/m/023zl,City University of New York,1,7381,/m/02f8zw,University of Buenos Aires,0.9423579573631287
10476,/m/023zl,City University of New York,2,12586,/m/08htt0,Parsons The New School for Design,0.9357272386550903
10476,/m/023zl,City University of New York,3,353,/m/052nd,McGill University,0.9295646548271179
10476,/m/023zl,City University of New York,4,5762,/m/01y9qr,University of Guelph,0.9290741682052612
10476,/m/023zl,City University of New York,5,9545,/m/05bnq8,Harvard Graduate School of Design,0.9281358122825623
10476,/m/023zl,City University of New York,6,13516,/m/0ch280,University of Texas School of Law,0.9239854216575623
10476,/m/023zl,City University of New York,7,10777,/m/019_6d,Fisk University,0.9237640500068665
10476,/m/023zl,City University of New York,8,1563,/m/09kvv,Johns Hopkins University,0.9233739972114563
10476,/m/023zl,City University of New York,9,415,/m/01j_9c,University of Iowa,0.9218476414680481
10476,/m/023zl,City University of New York,10,4783,/m/029d_,Drexel University,0.9215978980064392
1824,/m/031n8c,New England Conservatory of Music,1,14295,/m/04f1glf,Villarreal CF B,0.963280200958252
1824,/m/031n8c,New England Conservatory of Music,2,5153,/m/01jzyx,St. John's University,0.9625070095062256
1824,/m/031n8c,New England Conservatory of Music,3,7710,/m/0lwyk,Boise State University,0.9605304598808289
1824,/m/031n8c,New England Conservatory of Music,4,3329,/m/0ntpv,Allen County,0.9594854116439819
1824,/m/031n8c,New England Conservatory of Music,5,11617,/m/013dy7,Midland,0.9542281627655029
1824,/m/031n8c,New England Conservatory of Music,6,8738,/m/0425_d,Sangju Sangmu FC,0.9541320204734802
1824,/m/031n8c,New England Conservatory of Music,7,13680,/m/01wrwf,Cornell Law School,0.9511304497718811
1824,/m/031n8c,New England Conservatory of Music,8,6139,/m/01t0dy,"Queens College, City University of New York",0.9509599804878235
1824,/m/031n8c,New England Conservatory of Music,9,12902,/m/0hhjk,Museum of Modern Art,0.9509559869766235
1824,/m/031n8c,New England Conservatory of Music,10,4143,/m/017j69,Northwestern University,0.9489782452583313
409,/m/06jzh,Robin Wright,1,115,/m/06j0md,James Burrows,0.9565036296844482
409,/m/06jzh,Robin Wright,2,3178,/m/02bfxb,Fran Walsh,0.9493097066879272
409,/m/06jzh,Robin Wright,3,10357,/m/027ht3n,Michelle Dockery,0.941062867641449
409,/m/06jzh,Robin Wright,4,6418,/m/01vb6z,Cameron Crowe,0.939172625541687
409,/m/06jzh,Robin Wright,5,3902,/m/0dh73w,Henry Bumstead,0.9378342032432556
409,/m/06jzh,Robin Wright,6,2788,/m/0993r,Denise Richards,0.9370797872543335
409,/m/06jzh,Robin Wright,7,1887,/m/018grr,Will Ferrell,0.9358940124511719
409,/m/06jzh,Robin Wright,8,4053,/m/022wxh,Todd Haynes,0.9343335628509521
409,/m/06jzh,Robin Wright,9,6333,/m/0dgskx,Jim Carter,0.933750569820404
409,/m/06jzh,Robin Wright,10,1710,/m/03mg35,Frank Langella,0.9333279132843018
12149,/m/032s66,Gunshot,1,11100,/m/05hcy,Nassau,0.9529883861541748
12149,/m/032s66,Gunshot,2,12304,/m/020qjg,Copley Medal,0.9461879730224609
12149,/m/032s66,Gunshot,3,8392,/m/0284gc,Coventry City F.C.,0.9406105279922485
12149,/m/032s66,Gunshot,4,13646,/m/02b1xy,Arbroath F.C.,0.9405807256698608
12149,/m/032s66,Gunshot,5,6305,/m/027ydt,Eastern Kentucky University,0.9338358044624329
12149,/m/032s66,Gunshot,6,4447,/m/01yxbw,Exeter City F.C.,0.9324972033500671
12149,/m/032s66,Gunshot,7,3101,/m/0494n,Kabul,0.9299784898757935
12149,/m/032s66,Gunshot,8,7067,/m/06jwys,SpVgg Unterhaching,0.9299691319465637
12149,/m/032s66,Gunshot,9,2402,/m/0dy04,University of Vienna,0.9298041462898254
12149,/m/032s66,Gunshot,10,13726,/m/090q4n,SV Darmstadt 98,0.929472029209137
4506,/m/01pcdn,Kristin Davis,1,4815,/m/018fq,Bruce Sterling,0.9574897289276123
4506,/m/01pcdn,Kristin Davis,2,2987,/m/03jjzf,Jennifer Tilly,0.9527014493942261
4506,/m/01pcdn,Kristin Davis,3,6678,/m/04r7p,Liv Ullmann,0.9510790109634399
4506,/m/01pcdn,Kristin Davis,4,10626,/m/029k55,Cheech Marin,0.9506486058235168
4506,/m/01pcdn,Kristin Davis,5,3017,/m/01nn6c,Nick Mason,0.9505317807197571
4506,/m/01pcdn,Kristin Davis,6,1334,/m/049g_xj,Ellen Page,0.9494507312774658
4506,/m/01pcdn,Kristin Davis,7,6422,/m/01skmp,Diane Lane,0.9490089416503906
4506,/m/01pcdn,Kristin Davis,8,9791,/m/05ggt_,Eileen Brennan,0.9473214149475098
4506,/m/01pcdn,Kristin Davis,9,4010,/m/046qq,Jon Voight,0.9463546872138977
4506,/m/01pcdn,Kristin Davis,10,8345,/m/03lvyj,Barbara Hershey,0.9457026720046997
4012,/m/01y8cr,Karl Malden,1,11119,/m/05mxw33,Jeff Bhasker,0.9607316851615906
4012,/m/01y8cr,Karl Malden,2,9608,/m/022411,Marcia Gay Harden,0.9527143836021423
4012,/m/01y8cr,Karl Malden,3,10360,/m/07myb2,Kerry Washington,0.9506833553314209
4012,/m/01y8cr,Karl Malden,4,3710,/m/02v0ff,Al Roker,0.9487558603286743
4012,/m/01y8cr,Karl Malden,5,4365,/m/04g3p5,Edward Zwick,0.9484772086143494
4012,/m/01y8cr,Karl Malden,6,11081,/m/016ggh,John Gielgud,0.9482049942016602
4012,/m/01y8cr,Karl Malden,7,3325,/m/01k5zk,Debra Winger,0.9466093182563782
4012,/m/01y8cr,Karl Malden,8,10277,/m/01xwv7,Dave Chappelle,0.9449714422225952
4012,/m/01y8cr,Karl Malden,9,9256,/m/03v0vd,Adam Arkin,0.9437974691390991
4012,/m/01y8cr,Karl Malden,10,2293,/m/0bmh4,Elizabeth Taylor,0.9435310363769531
3657,/m/023znp,Emerson College,1,7631,/m/06b19,Queen's University,0.948531985282898
3657,/m/023znp,Emerson College,2,14054,/m/07sqhm,Torku Konyaspor,0.9455953240394592
3657,/m/023znp,Emerson College,3,10748,/m/04kjvt,Sparrow Records,0.9427052140235901
3657,/m/023znp,Emerson College,4,7939,/m/0c5x_,"University of California, Irvine",0.9426221251487732
3657,/m/023znp,Emerson College,5,974,/m/0ym8f,"The Queen's College, Oxford",0.942113995552063
3657,/m/023znp,Emerson College,6,11925,/m/0gmf0nj,Bounce TV,0.9419693946838379
3657,/m/023znp,Emerson College,7,8844,/m/07b2yw,University of Ibadan,0.9409059286117554
3657,/m/023znp,Emerson College,8,3513,/m/012vwb,Clemson University,0.9402523636817932
3657,/m/023znp,Emerson College,9,8226,/m/04zwc,Macquarie University,0.9398397207260132
3657,/m/023znp,Emerson College,10,13444,/m/01qgv7,Florida Keys,0.9389819502830505
2286,/m/03pn9,Second Polish Republic,1,13240,/m/018d5b,Saskatoon,0.8870856165885925
2286,/m/03pn9,Second Polish Republic,2,10945,/m/0mpzm,Travis County,0.8644885420799255
2286,/m/03pn9,Second Polish Republic,3,6904,/m/06pr6,Saint Petersburg,0.8634815812110901
2286,/m/03pn9,Second Polish Republic,4,11447,/m/0hz35,Waltham,0.8633386492729187
2286,/m/03pn9,Second Polish Republic,5,6217,/m/0rsjf,Daytona Beach,0.8632300496101379
2286,/m/03pn9,Second Polish Republic,6,11270,/m/0168t,British Virgin Islands,0.8628818988800049
2286,/m/03pn9,Second Polish Republic,7,12991,/m/03t1s,Isle of Man,0.8628148436546326
2286,/m/03pn9,Second Polish Republic,8,6088,/m/01w2v,Cairo,0.8615927696228027
2286,/m/03pn9,Second Polish Republic,9,10272,/m/06xkst,Eureka Seven,0.8609432578086853
2286,/m/03pn9,Second Polish Republic,10,11992,/m/0dn8b,Anne Arundel County,0.8589352965354919
12066,/m/0cv2m,Chhattisgarh,1,10684,/m/0mnk7,Lynchburg,0.9560163617134094
12066,/m/0cv2m,Chhattisgarh,2,12892,/m/02t1dv,Kotono Mitsuishi,0.9557872414588928
12066,/m/0cv2m,Chhattisgarh,3,12795,/m/0133k0,Electroclash,0.9547874331474304
12066,/m/0cv2m,Chhattisgarh,4,14485,/m/03nh9,Heterosexuality,0.954749345779419
12066,/m/0cv2m,Chhattisgarh,5,13003,/m/01l3s0,Qingdao,0.9541281461715698
12066,/m/0cv2m,Chhattisgarh,6,14055,/m/0nppc,Johnson County,0.9535263776779175
12066,/m/0cv2m,Chhattisgarh,7,14343,/m/075qbd2,Independent,0.9513471126556396
12066,/m/0cv2m,Chhattisgarh,8,11619,/m/071h5c,Ben Foster,0.9506407380104065
