anchor_id,anchor_raw,anchor_text,rank,neighbor_id,neighbor_raw,neighbor_text,cosine_similarity
50,oslo,oslo,1,59,studio,studio,0.8960906267166138
50,oslo,oslo,2,78,oracle,oracle,0.7995989918708801
50,oslo,oslo,3,84,switch,switch,0.764194667339325
50,oslo,oslo,4,87,dallas,dallas,0.7526572942733765
50,oslo,oslo,5,28,yale,yale,0.7422381043434143
50,oslo,oslo,6,48,tina,tina,0.7402708530426025
50,oslo,oslo,7,43,excel,excel,0.7399281859397888
50,oslo,oslo,8,89,airbnb,airbnb,0.735235333442688
50,oslo,oslo,9,94,warehouse,warehouse,0.7310754060745239
50,oslo,oslo,10,79,hospital,hospital,0.7226712703704834
85,pipeline,pipeline,1,100,platform,platform,0.8820139765739441
85,pipeline,pipeline,2,83,sydney,sydney,0.8609262704849243
85,pipeline,pipeline,3,7,amazon,amazon,0.8548883199691772
85,pipeline,pipeline,4,33,spark,spark,0.8458667397499084
85,pipeline,pipeline,5,40,vehicle,vehicle,0.8362826108932495
85,pipeline,pipeline,6,54,phoenix,phoenix,0.8311557173728943
85,pipeline,pipeline,7,14,quinn,quinn,0.830356776714325
85,pipeline,pipeline,8,82,embassy,embassy,0.8303016424179077
85,pipeline,pipeline,9,60,sql,sql,0.8293402194976807
85,pipeline,pipeline,10,31,zane,zane,0.8194952607154846
58,irene,irene,1,30,library,library,0.8699042201042175
58,irene,irene,2,40,vehicle,vehicle,0.8698611259460449
58,irene,irene,3,45,boston,boston,0.8640733957290649
58,irene,irene,4,74,tableau,tableau,0.8600771427154541
58,irene,irene,5,18,seoul,seoul,0.8575828075408936
58,irene,irene,6,90,prague,prague,0.84647536277771
58,irene,irene,7,96,filter,filter,0.8374127149581909
58,irene,irene,8,26,tokyo,tokyo,0.8369670510292053
58,irene,irene,9,24,berlin,berlin,0.832308292388916
58,irene,irene,10,63,campus,campus,0.8215904831886292
67,dubai,dubai,1,40,vehicle,vehicle,0.8458806276321411
67,dubai,dubai,2,90,prague,prague,0.8245610594749451
67,dubai,dubai,3,57,tesla,tesla,0.8120783567428589
67,dubai,dubai,4,58,irene,irene,0.8075963258743286
67,dubai,dubai,5,96,filter,filter,0.7953602075576782
67,dubai,dubai,6,99,panel,panel,0.7897924184799194
67,dubai,dubai,7,7,amazon,amazon,0.7801777124404907
67,dubai,dubai,8,45,boston,boston,0.779890775680542
67,dubai,dubai,9,60,sql,sql,0.7792071104049683
67,dubai,dubai,10,24,berlin,berlin,0.77260422706604
49,london,london,1,7,amazon,amazon,0.8751901388168335
49,london,london,2,64,zoom,zoom,0.8281773328781128
49,london,london,3,47,drone,drone,0.8262618184089661
49,london,london,4,73,machine,machine,0.8247889280319214
49,london,london,5,34,frank,frank,0.8193175196647644
49,london,london,6,33,spark,spark,0.8133047819137573
49,london,london,7,85,pipeline,pipeline,0.8099231123924255
49,london,london,8,41,robot,robot,0.8077765703201294
49,london,london,9,32,madrid,madrid,0.8008747696876526
