entity_id,entity_raw,entity_text,dominant_relation,pca_x,pca_y,tsne_x,tsne_y
81,scooter,scooter,other,0.12579902,-0.058814038,0.68299043,0.58367187
14,quinn,quinn,lives in,-0.1579657,0.04412451,0.15403596,-2.1027908
3,paul,paul,married to,-0.233889,0.121390074,0.41522294,-2.618012
94,warehouse,warehouse,other,0.04745013,-0.042512152,1.4842443,-0.2974531
35,bicycle,bicycle,owns,0.2540764,0.1447306,2.919637,4.1912794
31,zane,zane,married to,-0.28606352,-0.02438438,1.75662,-2.3026996
28,yale,yale,studies at,0.31006214,-0.21897678,0.7565537,2.6964328
17,alice,alice,lives in,0.16754547,0.18183377,4.535659,1.437892
13,noah,noah,parent of,-0.40200388,-0.15604086,4.669386,-2.8961222
86,system,system,other,-0.4029436,0.20174618,1.6878287,-3.159515
69,ucla,ucla,studies at,0.041760236,0.07659523,2.15141,0.5747725
11,nvidia,nvidia,works at,-0.14146775,-0.050344214,-0.41054338,-2.262819
75,cornell,cornell,studies at,-0.14270152,-0.32411426,5.1615963,-0.47175172
54,phoenix,phoenix,lives in,0.07931631,-0.029846037,0.8335465,0.26221392
4,emma,emma,owns,-0.12692945,-0.2689103,5.2912865,-0.86067486
98,accenture,accenture,other,0.13088101,-0.13154264,2.4094424,1.2225955
89,airbnb,airbnb,other,0.23491892,-0.024572136,0.42190623,1.9927654
27,wendy,wendy,studies at,-0.2915269,0.07795118,2.165014,-3.0129287
29,tensorflow,tensorflow,uses,0.36769328,-0.0375065,1.9636539,2.6507275
64,zoom,zoom,works at,0.20730446,-0.28774408,2.3773544,2.4919276
77,stadium,stadium,located in,0.12395174,-0.03850446,-0.18318026,-0.099484675
85,pipeline,pipeline,other,-0.047293104,-0.16616642,1.5616947,-1.0595033
71,linux,linux,uses,0.25597355,-0.15515804,2.9679546,2.4960003
25,lisbon,lisbon,located in,0.32108644,0.05786795,-0.5418753,2.8978267
90,prague,prague,other,-0.029314931,-0.094485566,-0.11676046,-0.6380823
53,carol,carol,lives in,-0.062378787,-0.20410065,3.5198283,0.6436025
97,device,device,other,-0.0043740235,0.36241978,-1.6158345,0.3448827
57,tesla,tesla,works at,-0.47197285,0.01490986,4.411431,-3.3129888
96,filter,filter,other,-0.0104624145,-0.039956078,4.4868617,1.1061304
0,karen,karen,studies at,0.101010226,-0.10378185,3.5726428,2.2234914
20,yasmin,yasmin,uses,-0.22342467,-0.2425646,5.1829267,-2.3052218
87,dallas,dallas,other,0.014725063,0.3387426,-1.9513321,0.6383986
43,excel,excel,uses,-0.037649922,0.052984532,0.836964,-0.860324
72,router,router,part of,0.123819314,0.2664985,2.981781,4.140038
19,gallery,gallery,located in,0.15498117,0.045480486,-0.20786236,0.76370585
83,sydney,sydney,other,-0.07358743,0.004107788,0.9099877,-1.6383247
